,,,,,,,,,,,,,,,,,
企業名,中業界(メイン),中業界(サブ),本社所在地_都道府県,本社所在地,従業員数（範囲）,資本金（範囲）,売上（範囲）,企業HP,問い合わせフォーム,代表電話番号,代表メールアドレス,,,送信可否,日付,送信不可理由,
株式会社Ｋｏｃｃｏｒｏ,Webアプリ・サービス運営,,埼玉県,埼玉県所沢市東所沢和田３丁目１１－１久保田ビル２Ｆ,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,https://koccoro.com/,https://koccoro.shop-pro.jp/customer/inquiries/new,,,,,送信成功,2026/07/17,,
株式会社リーバー,Webアプリ・サービス運営,スマホアプリ,茨城県,茨城県つくば市松代４丁目２番７号,2: 10人以上~20人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,https://www.leber.jp/about-us/,https://www.leber.jp/contact/other,029-896-6263,info@leber.jp,,,送信成功,2026/07/17,,
株式会社京翔,Webアプリ・サービス運営,,京都府,京都府京都市中京区新町通三条上る町頭町１１２番地,2: 10人以上~20人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,https://www.f-keisho.co.jp/company/overview/,http://www.f-keisho.co.jp//www.f-keisho.co.jp/contact/,075-353-2570,,,,送信不可,,必須項目の入力ができない（情報不足など）,お問い合わせ区分該当なし
株式会社ママスキー,Webアプリ・サービス運営,"その他コンサル,イベント",富山県,富山県富山市大島２丁目１９番地２９,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,https://mamasky.jp/,https://mamasky.jp/contact,,,,,送信成功,2026/07/17,,
ジャパンインテグレーション株式会社,Webアプリ・サービス運営,ITコンサル,沖縄県,沖縄県宜野湾市大山６丁目８番１号,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,https://www.japan-int.com/,https://www.japan-int.com/contact/,098-943-9674,,,,送信成功,2026/07/17,,
バーズ・ビュー株式会社,Webアプリ・サービス運営,クラウド系/SaaS/ASPサービス,東京都,東京都文京区本郷４丁目５番１０号,2: 10人以上~20人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,https://www.birdsview.jp/,http://www.birdsview.jp/contact,03-6801-5620,,,,送信成功,2026/07/17,,
株式会社円簿インターネットサービス,Webアプリ・サービス運営,受託開発,東京都,東京都豊島区東池袋３丁目１番１号サンシャイン６０、４５階,2: 10人以上~20人未満,"1: 5,000万円以上~3億円未満",1: 1億円以上~3億円未満,https://www.yenbo.jp/profile,https://www.yenbo.jp/contact_yenbo,,,,,送信成功,2026/07/17,,
ＩｎｓｔａＶＲ株式会社,Webアプリ・サービス運営,クラウド系/SaaS/ASPサービス,東京都,東京都豊島区東池袋１丁目２５番６号ＰＭＯ池袋１０階,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,https://www.instavr.co.jp/,,03-4540-9615,,,,送信不可,, お問い合わせフォーム無し,
株式会社ケイ・アイ・エス,Webアプリ・サービス運営,eコマース,東京都,東京都台東区北上野１丁目８番６号,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,http://i-kis.co.jp/company/,,03-6231-6844,,,,送信不可,, お問い合わせフォーム無し,
株式会社シグニティ,Webアプリ・サービス運営,"ITコンサル,Webアプリ・サービス運営",愛知県,愛知県名古屋市中村区名駅３丁目２８番１２号,2: 10人以上~20人未満,"1: 5,000万円以上~3億円未満",1: 1億円以上~3億円未満,https://www.signity.jp/,https://webpush.jp/inquiry/,03-5839-2832,info@signity.jp,,,送信不可,, お問い合わせフォーム無し,営業、提案に該当するフォームなし
株式会社ＡＵＳ,情報セキュリティ,"その他IT,ITコンサル,防犯機器",東京都,東京都江東区平野２丁目１６番１２号,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://www.aus-inc.co.jp/company/company-profile/,https://advanced-unified-security.com/contact/,03-5875-8110,privacy@aus-inc.co.jp,,,送信不可,,必須項目の入力ができない（情報不足など）,お問い合わせ内容該当なし
株式会社ＦＲＯＮＥ,Webアプリ・サービス運営,ソフトウェア販売,東京都,東京都世田谷区下馬１丁目３３番１２号,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,https://frone.jp/company,http://frone.jp/contact,03-6380-3236,,,,送信成功,2026/07/17,,
株式会社サムライソード,Webアプリ・サービス運営,"CM制作・映像制作,その他建設・工事",東京都,東京都豊島区東池袋３丁目１番３号サンシャインシティワールドインポートマートビル５階,2: 10人以上~20人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,https://samuraisword.co.jp/,https://samuraisword.co.jp/contact,,info@genic.photo,,,送信不可,,営業禁止の記載あり,
株式会社ペイルド,クラウド系/SaaS/ASPサービス,"銀行・金庫・組合,Webアプリ・サービス運営",東京都,東京都中央区日本橋兜町５番１号兜町第一平和ビルＢ１Ｆ,2: 10人以上~20人未満,2: 3億円以上~10億円未満,2: 3億円以上~10億円未満,https://www.paild.co.jp/about/company,https://www.paild.co.jp/contact,,,,,送信成功,2026/07/17,,
アイイーファイヴ株式会社,Webアプリ・サービス運営,,東京都,東京都千代田区神田神保町２丁目１０番２７号,2: 10人以上~20人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,https://ie5.jp/,https://ie5.jp/,03-6261-6223,,,,送信不可,, お問い合わせフォーム無し,
株式会社ＳＹＮＡＰＳ,Webアプリ・サービス運営,"その他IT,デジタル系コンテンツ",北海道,北海道札幌市中央区大通西１７丁目１－１４,2: 10人以上~20人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,https://www.synapseconsulting.jp/,https://www.synapseconsulting.jp/contact/,011-676-4565,info@synapseconsulting.jp,,,送信成功,2026/07/17,,
株式会社フィッシュパス,クラウド系/SaaS/ASPサービス,,福井県,福井県坂井市丸岡町熊堂第３号７番地１－１６,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,https://fishpass.jp/company/about/,,,,,,送信成功,2026/07/17,,
株式会社デジタルコマース,Webアプリ・サービス運営,書籍・メディア販売,東京都,東京都港区芝５丁目３６番７号,2: 10人以上~20人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,http://digitalcommerce.co.jp/,https://digitalcommerce.co.jp/contact,,,,,送信不可,,必須項目の入力ができない（情報不足など）,問合せ種別該当なし
エフエーエスホールディングス株式会社,Webアプリ・サービス運営,受託開発,香川県,香川県仲多度郡まんのう町宮田１０１９番地１７,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,https://fas-logistic.com/company/about,,0877-75-3780,,,,送信不可,, お問い合わせフォーム無し,
Ｓｔｉｂｏ　Ｓｙｓｔｅｍｓ株式会社,Webアプリ・サービス運営,受託開発,東京都,東京都中央区日本橋３丁目６番２号日本橋フロント１階,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,https://www.stibosystems.com/ja,https://www.stibosystems.com/contact-us,03-6202-7188,info@stibosystems.jp,,,送信不可,,必須項目の入力ができない（情報不足など）,役職
Ｔａｌｋｎｏｔｅ株式会社,Webアプリ・サービス運営,ITコンサル,東京都,東京都千代田区九段南１丁目６番５号,2: 10人以上~20人未満,"1: 5,000万円以上~3億円未満",1: 1億円以上~3億円未満,https://talknote.com/company/,https://talknote.zendesk.com/hc/ja/requests/new,,info@talknote.com,,,送信成功,2026/07/17,,
コースベース株式会社,Webアプリ・サービス運営,"ソフトウェア販売,企業研修",東京都,東京都渋谷区神宮前３丁目４２番２号,2: 10人以上~20人未満,2: 3億円以上~10億円未満,0: 1億円未満,https://coursebase.co/,https://coursebase.co/contact/,,,,,送信成功,2026/07/17,,
グリッジ株式会社,Webアプリ・サービス運営,,東京都,東京都品川区上大崎３丁目２番１号,2: 10人以上~20人未満,"1: 5,000万円以上~3億円未満",1: 1億円以上~3億円未満,https://www.gridge-company.com/,https://www.gridge-company.com/about-jp,,info@gridge.com,,,送信成功,2026/07/17,,
株式会社Ｂｌｕｅ　Ｗｏｒｌｄ　Ｕｎｌｉｍｉｔｅｄ,Webアプリ・サービス運営,"ソフトウェア販売,IT系教育",東京都,東京都江東区東砂３丁目１８番６号コレット０７,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,http://blue-world-unlimited.biz/,http://blue-world-unlimited.biz/#contact,03-6260-9630,,,,送信成功,2026/07/17,,
ＡｐｐＢａｎｋ株式会社,Webアプリ・サービス運営,"PC・スマホ機器販売・修理,eコマース",東京都,東京都新宿区新宿１丁目１９番１０号,2: 10人以上~20人未満,2: 3億円以上~10億円未満,3: 10億円以上~50億円未満,https://www.appbank.co.jp/,http://www.appbank.co.jp/contact/,03-6302-0561,info@appbank.net,,,送信成功,2026/07/17,,
株式会社ＭＪ,Webアプリ・サービス運営,CM制作・映像制作,大阪府,大阪府大阪市西区土佐堀２丁目１番６号２階,2: 10人以上~20人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,https://mj-inc.jp/corporate.html,https://mj-inc.jp/contact.html,06-6479-0508,,,,送信成功,2026/07/17,,
Ａｌｌｅｅｋｓ株式会社,クラウド系/SaaS/ASPサービス,その他IT,東京都,東京都新宿区西新宿４丁目１１番２１号ホルス西新宿２階,2: 10人以上~20人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,https://www.alleeks.com/privacy-policy,https://www.alleeks.com/contact,,,,,送信不可,,送信ボタンを押すことができない・エラー,
株式会社ＡＣＤ,Webアプリ・サービス運営,"財務コンサル,人材派遣",岩手県,岩手県盛岡市中央通１丁目６番３０号パレ日影門２０１号,2: 10人以上~20人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,http://acd.jp.net/,,019-613-2236,,,,送信不可,, お問い合わせフォーム無し,
クリニファー株式会社,Webアプリ・サービス運営,,大阪府,大阪府大阪市中央区大手前１丁目７番３１号ＯＭＭビル５階,2: 10人以上~20人未満,"0: 5,000万円未満",3: 10億円以上~50億円未満,https://cliniphar.com/company/,https://cliniphar.com/contact/,,,,,送信不可,,営業禁止の記載あり,
ｕｐｔｏ４株式会社,Webアプリ・サービス運営,,東京都,東京都中央区日本橋堀留町１丁目９番１０号,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,https://about.upto4.com/company,,,,,,送信不可,, お問い合わせフォーム無し,
株式会社ローカルワークス,Webアプリ・サービス運営,"クレジット・決済代行,その他広告・制作,建設・土木設計",東京都,東京都品川区北品川５丁目５番１５号,2: 10人以上~20人未満,"1: 5,000万円以上~3億円未満",3: 10億円以上~50億円未満,https://localworks.co.jp/,https://localworks.co.jp/,03-6432-5757,info@reform-market.com,,,送信不可,,メールに遷移・Googleフォーム,
株式会社ポルト,情報セキュリティ,,東京都,東京都千代田区神田駿河台２丁目３番１１号,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,https://www.poruto-inc.com/,https://www.poruto-inc.com/contact/,03-5244-4739,,,,送信成功,2026/07/17,,
株式会社ライフシフトラボ,Webアプリ・サービス運営,,東京都,東京都品川区西五反田７丁目２２番１７号ＴＯＣビル１０階,2: 10人以上~20人未満,"1: 5,000万円以上~3億円未満",1: 1億円以上~3億円未満,https://corp.lifeshiftlab.jp/,,,info@blueblaze.co.jp,,,送信不可,, お問い合わせフォーム無し,
株式会社コルザ,医療機器,"動物・ペット,計測機器・センサー,人材派遣,セミナー",茨城県,茨城県つくば市みどりの東１４番地１０Ｙ’ｓＧａｒａｇｅＣ号室,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,http://www.colzadog.com/,https://www.colzadog.com/contact.html,,,,,送信不可,,営業禁止の記載あり,
株式会社オフショア,Webアプリ・サービス運営,"コンテンツ制作,Web制作",沖縄県,沖縄県宜野湾市大山２丁目９番２号前田商事ビル１－Ｃ,2: 10人以上~20人未満,,2: 3億円以上~10億円未満,https://offshore46.com/,,098-943-8916,info@offshore46.com,,,送信不可,, お問い合わせフォーム無し,
アビリティウイング株式会社,Webアプリ・サービス運営,,東京都,東京都港区三田３丁目３番８号,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,,,03-6722-0478,,,,送信不可,,別サイトに遷移してしまう・サイトが開けない,
株式会社スペイシー,Webアプリ・サービス運営,"ITコンサル,Webアプリ・サービス運営",東京都,東京都港区新橋２丁目２０番１５号新橋駅前ビル１号館６０５,2: 10人以上~20人未満,"1: 5,000万円以上~3億円未満",1: 1億円以上~3億円未満,https://www.spacee.co.jp/,http://www.spacee.co.jp/about,03-6869-3659,info@spacee.co.jp,,,送信成功,2026/07/17,,
ｔｅｃｈｎｅｒｓ株式会社,Webアプリ・サービス運営,,東京都,東京都中野区中央５丁目３８番１３エスエス１０ビルＡ６０２,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,https://techners.jp/company,https://techners.jp/contact,,,,,送信不可,,メールに遷移・Googleフォーム,
株式会社Ｓｏｚｉ,Webアプリ・サービス運営,,東京都,東京都千代田区外神田３丁目１３番２号ＬＩＦＯＲＫ・ＡＫＩＨＡＢＡＲＡⅡ・ＲＢ１Ａ,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,https://sozi.co.jp/,https://docs.google.com/forms/d/e/1FAIpQLSfQZLWK3L3bIiwXfQoQYgNQGRMaxusKqR5Arhb_CvD7emlJ_A/viewform,,contact@ofuse.me,,,送信不可,, お問い合わせフォーム無し,
株式会社ＫＹイメージングテック,Webアプリ・サービス運営,,大阪府,大阪府吹田市豊津町１０番３４号井門江坂駅前ビル７Ｆ,2: 10人以上~20人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,https://www.kyimage.co.jp/,,,,,,送信不可,, お問い合わせフォーム無し,
ＣＯ－ＮＥＣＴ株式会社,クラウド系/SaaS/ASPサービス,"その他専門商社,その他運輸・物流",東京都,東京都千代田区神田錦町２丁目２番地１,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://conct.co.jp,https://conct.co.jp/contact,,info@conct.co.jp,,,送信成功,2026/07/17,,
ウェストイノベーション株式会社,Webアプリ・サービス運営,"人材派遣,Web制作",東京都,東京都豊島区東池袋２丁目２３番１号昭陽ビル１階,2: 10人以上~20人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,https://www.west-innovation.co.jp/index.html,https://www.west-innovation.co.jp/contact.html,03-6907-1742,,,,送信不可,, お問い合わせフォーム無し,
ガレージバンク株式会社,Webアプリ・サービス運営,,東京都,東京都港区虎ノ門２丁目２－１住友不動産虎ノ門タワー６Ｆ,2: 10人以上~20人未満,2: 3億円以上~10億円未満,1: 1億円以上~3億円未満,https://www.garagebank.co.jp/,,,,,,送信成功,2026/07/17,,
株式会社ＺＩＴＴＯ,Webアプリ・サービス運営,出版,東京都,東京都豊島区東池袋１丁目２５番９号,2: 10人以上~20人未満,"1: 5,000万円以上~3億円未満",0: 1億円未満,https://zitto.co.jp/,,03-6907-5551,contact_info@zitto.jp,,,送信不可,, お問い合わせフォーム無し,
株式会社メーヴェ,Webアプリ・サービス運営,,東京都,東京都渋谷区広尾１丁目２番１号,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,,,,,,,送信不可,,URL・記号を含むことができない,
株式会社ジーム,Webアプリ・サービス運営,,東京都,東京都千代田区神田岩本町４番地９,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,http://geem.co.jp/,http://geem.co.jp/contact.html,06-6264-0106,,,,送信不可,,URL・記号を含むことができない,
株式会社ａｃｔｉｖｏ,Webアプリ・サービス運営,その他サービス,京都府,京都府京都市左京区岡崎円勝寺町３８番地１,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,https://corp.activo.jp/,https://corp.activo.jp/contact/,050-6864-1560,info@activo.jp,,,送信成功,2026/07/17,,
キュレーションズ株式会社,Webアプリ・サービス運営,,東京都,東京都渋谷区東１丁目８番４号ＩＮＯ．ＳＨＩＢＵＹＡ１階,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,http://curations.jp/,https://curations.jp/contact/,03-6447-5985,info@curations.jp,,,送信成功,2026/07/17,,
株式会社ｋｉｗａｍｉ,Webアプリ・サービス運営,,東京都,東京都千代田区外神田２丁目３番６号成田ビル７階,2: 10人以上~20人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,https://xr-cast.com/company/,,,,,,送信成功,2026/07/17,,
株式会社ウォーターリンクス,Webアプリ・サービス運営,,兵庫県,兵庫県姫路市阿保甲８７８番地,2: 10人以上~20人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,https://www.infraplus.co.jp/water-links,,,,,,送信成功,2026/07/17,,
医療法人スマイルアート,Webアプリ・サービス運営,,岡山県,岡山県岡山市東区西大寺１００４番地２プリベールＭ１Ｆ,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,https://haisha-yoyaku-blog.jp/,,,,,,送信成功,2026/07/17,,
ＩＴＤ　Ｌａｂ株式会社,Webアプリ・サービス運営,,神奈川県,神奈川県横浜市緑区長津田町５８１４番地５,2: 10人以上~20人未満,"1: 5,000万円以上~3億円未満",1: 1億円以上~3億円未満,https://itdlab.com/wordpress/,https://itdlab.com/wordpress/recruit_form/,045-532-5281,sales@itdlab.com,,,送信不可,,営業禁止の記載あり,
Ｖａｎｔｉｑ株式会社,Webアプリ・サービス運営,"その他IT,ITコンサル",東京都,東京都千代田区大手町１丁目９番２号大手町フィナンシャルシティグランキューブ３階,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,https://vantiq.com/ja/about-vantiq/,,,info_japan@vantiq.com,,,送信成功,2026/07/17,,
ＭＩＣＥプラットフォーム株式会社,Webアプリ・サービス運営,その他コンサル,東京都,東京都港区海岸１丁目７番１号,2: 10人以上~20人未満,"1: 5,000万円以上~3億円未満",1: 1億円以上~3億円未満,https://www.mice-platform.com/corporate/company/,,,,,,送信成功,2026/07/17,,
ＯＮＥ　ＭＥＤＩＣＡＬ株式会社,クラウド系/SaaS/ASPサービス,,東京都,東京都港区麻布台１丁目３番１号麻布台ヒルズ森ＪＰタワー２７階,2: 10人以上~20人未満,,2: 3億円以上~10億円未満,https://one-medical.co.jp/,,,,,,送信成功,2026/07/17,,
ソーシャルカルチャーネットワーク株式会社,Webアプリ・サービス運営,"Webマーケコンサル,広告制作,販促コンサル",東京都,東京都中央区銀座１丁目１２番４号,2: 10人以上~20人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,http://www.manabow.net/scn,,03-6222-0627,info@manabow.net,,,送信成功,2026/07/17,,
株式会社Ｓｔｕｄｉｏ　Ｈｏｔａｒｕ,ゲーム開発,"デジタル系コンテンツ,CM制作・映像制作",神奈川県,神奈川県川崎市幸区柳町８１番地２０,2: 10人以上~20人未満,,2: 3億円以上~10億円未満,,,,,,,送信不可,,営業禁止の記載あり,
館山漁業協同組合,Webアプリ・サービス運営,,千葉県,千葉県館山市船形１４５２番地,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,https://yuime.jp/,,,,,,送信不可,,営業禁止の記載あり,
株式会社デンタルスタジオビッグバン,医療機器,,栃木県,栃木県宇都宮市立伏町８９３番地３５９,2: 10人以上~20人未満,,2: 3億円以上~10億円未満,https://ds-bigbang.co.jp/,,028-672-2369,,,,送信不可,,別サイトに遷移してしまう・サイトが開けない,
株式会社テクノトゥルース,Webアプリ・サービス運営,"ソフトウェア販売,PC・スマホ機器販売・修理,ITコンサル,受託開発",大阪府,大阪府大阪市淀川区西中島５丁目７番１９号,2: 10人以上~20人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,https://www.technotruth.co.jp/,http://www.technotruth.co.jp/contact/,06-4862-4252,,,,送信成功,2026/07/17,,
株式会社リハビテック,医療機器,"その他医療・福祉,医療機器商社",京都府,京都府京都市北区大北山原谷乾町２２番地の１６,2: 10人以上~20人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://rehabitech.co.jp/,http://www.rehabitech.co.jp/contact,075-464-0034,,,,送信成功,2026/07/17,,
株式会社グリーンカード,Webアプリ・サービス運営,,福岡県,福岡県福岡市中央区天神２丁目１１－１福岡ＰＡＲＣＯ新館５Ｆ,2: 10人以上~20人未満,,1: 1億円以上~3億円未満,https://www.green-card.co.jp/company/,https://www.green-card.co.jp/contact/,092-791-2272,info@green-card.co.jp,,,送信成功,2026/07/17,,
株式会社エムファーム,Webアプリ・サービス運営,雑貨商社,宮崎県,宮崎県宮崎市橘通西１丁目２番１７号宮崎橘通ビル２Ｆ,2: 10人以上~20人未満,,2: 3億円以上~10億円未満,https://www.mfarm.net/about,https://www.mfarm-indigo.com/contact,0985-29-2021,,,,送信成功,2026/07/17,,
株式会社ゲームアディクト,Webアプリ・サービス運営,その他小売・販売,東京都,東京都千代田区九段南４丁目６番４号,1: 5人以上~10人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://www.gameaddict.co.jp/,,03-6256-8419,,,,送信成功,2026/07/17,,
ＦｉｎＧｏ株式会社,クラウド系/SaaS/ASPサービス,,東京都,東京都千代田区内幸町１丁目２番２号,1: 5人以上~10人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,https://www.fingo.co.jp/,https://www.fingo.co.jp/contact/,03-6457-9407,info@fingo.co.jp,,,送信成功,2026/07/17,,
株式会社ＬｉｖｅＳｍａｒｔ,Webアプリ・サービス運営,,東京都,東京都港区西新橋２丁目２１番２号,1: 5人以上~10人未満,,1: 1億円以上~3億円未満,https://www.livesmart.co.jp/about,,,,,,送信成功,2026/07/17,,
Ｂｏｄｙｇｒａｍ　Ｊａｐａｎ株式会社,Webアプリ・サービス運営,,東京都,東京都渋谷区渋谷２丁目２４番１２号渋谷スクランブルスクエア３９階,1: 5人以上~10人未満,,1: 1億円以上~3億円未満,https://bodygram.com/jp/,,,contact@bodygram.com,,,送信成功,2026/07/17,,
ファンファーレ株式会社,クラウド系/SaaS/ASPサービス,,東京都,東京都千代田区二番町９－３ＴＨＥＢＡＳＥ麹町Ｅ－３１２,1: 5人以上~10人未満,,1: 1億円以上~3億円未満,https://fanfare-kk.com/,https://fanfare-kk.com/contact/,,admin@fanfare-kk.com,,,送信成功,2026/07/17,,
株式会社ラリーズ,Webアプリ・サービス運営,"国内旅行,グッズ制作・グッズ販売,イベント,スポーツ用品販売",東京都,東京都文京区春日１丁目５－３春日タウンホーム１階Ｃ号室,1: 5人以上~10人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://www.rallys.co.jp/about,https://pingponginc.jp/contact/,,,,,送信不可,,別サイトに遷移してしまう・サイトが開けない,
株式会社アリストル,Webアプリ・サービス運営,"クラウド系/SaaS/ASPサービス,その他医療・福祉",東京都,東京都渋谷区道玄坂１丁目１２－１,1: 5人以上~10人未満,,1: 1億円以上~3億円未満,http://www.beatfit.jp,https://www.beatfit.jp/contact,,info@beatfit.jp,,,送信不可,,別サイトに遷移してしまう・サイトが開けない,
ＴＴＵ株式会社,Webアプリ・サービス運営,"Webマーケコンサル,eコマース,その他コンサル,景観地運営,販促コンサル,Web制作,経営コンサル",福岡県,福岡県福岡市博多区博多駅東２丁目５番２８号,1: 5人以上~10人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://ttu.co.jp/company,http://ttu.co.jp/contact/,,inbound_info@ttu.co.jp,,,送信成功,2026/07/17,,
山形オート株式会社,Webアプリ・サービス運営,,山形県,山形県鶴岡市宝田３丁目９番８号,1: 5人以上~10人未満,,1: 1億円以上~3億円未満,https://carhack.jp/,,0235-24-7708,,,,送信不可,, お問い合わせフォーム無し,
カムイ・イノベーション株式会社,Webアプリ・サービス運営,,北海道,北海道札幌市中央区大通西１９丁目２番地１,1: 5人以上~10人未満,"1: 5,000万円以上~3億円未満",1: 1億円以上~3億円未満,https://www.kamuy-innovation.co.jp/,http://www.kamuy-innovation.co.jp/contact/,011-522-8115,fujimaki@kamuy-innovation.co.jp,,,送信成功,2026/07/17,,
株式会社Ｍｏｆｆ,Webアプリ・サービス運営,"その他小売・販売,その他医療・福祉,Webアプリ・サービス運営",東京都,東京都港区三田１丁目３－４０天翔オフィス麻布十番１０１,1: 5人以上~10人未満,"1: 5,000万円以上~3億円未満",1: 1億円以上~3億円未満,https://jp.moff.mobi/company/,https://jp.moff.mobi/contact/,,,,,送信成功,2026/07/17,,
株式会社ＰＥＮＴＡＳ,医療機器,その他IT,神奈川県,神奈川県川崎市川崎区殿町３丁目２５番１６号ＣＹＢＥＲＮＩＣＳＭＥＤＩＣＡＬＩＮＮＯＶＡＴＩＯＮＢＡＳＥ‐Ａ３２６,1: 5人以上~10人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://pentas-medical.jp/company-profile/,,03-6418-3010,,,,送信不可,, お問い合わせフォーム無し,
ａｉｐａｓｓ株式会社,Webアプリ・サービス運営,クラウド系/SaaS/ASPサービス,東京都,東京都渋谷区千駄ヶ谷４丁目２７番５号４Ｆ,1: 5人以上~10人未満,,1: 1億円以上~3億円未満,https://aipass.jp/company/,,,,,,送信成功,2026/07/17,,
株式会社ｃｏ－ｍｅｅｔｉｎｇ,Webアプリ・サービス運営,その他IT,東京都,東京都新宿区袋町５番地１ＦＡＲＯ神楽坂２０８,1: 5人以上~10人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,https://www.co-meeting.co.jp/,https://www.co-meeting.co.jp/contact/,03-6759-8373,,,,送信不可,, お問い合わせフォーム無し,
合同会社アクレレックジャパン,Webアプリ・サービス運営,,東京都,東京都品川区北品川１丁目１３－７長栄ビル４階,1: 5人以上~10人未満,,1: 1億円以上~3億円未満,https://acrelec.com/ja/visit-us/,,,,,,送信不可,, お問い合わせフォーム無し,
株式会社Ａｇｏｏｒａ,Webアプリ・サービス運営,,東京都,東京都杉並区高円寺南４丁目７番１－３０２号,1: 5人以上~10人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,https://agoora.co.jp/,https://docs.google.com/forms/d/e/1FAIpQLSePoWoXLEYcH5mtdrZRKNyHW28r54duPagn5Z547Iy4B7ZuMw/viewform,03-5929-7575,,,,送信成功,2026/07/17,,
システックＩＴソリューション株式会社,Webアプリ・サービス運営,その他教育業界,岡山県,岡山県津山市沼６番地８,1: 5人以上~10人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,https://www.systech-its.co.jp/company.html,http://www.systech-its.co.jp/contact.html,0868-25-2131,info@systech-its.co.jp,,,送信不可,,メールに遷移・Googleフォーム,
株式会社モビイクス,Webアプリ・サービス運営,,沖縄県,沖縄県那覇市字安里３８１番地１,1: 5人以上~10人未満,"1: 5,000万円以上~3億円未満",1: 1億円以上~3億円未満,https://mobyx.jp/about/,https://r-digico.co.jp/contact,098-943-0313,info@r-digico.co.jp,,,送信成功,2026/07/17,,
ミライウェブ株式会社,Webアプリ・サービス運営,"Web制作,デザイン",東京都,東京都渋谷区道玄坂１丁目１０番８号,1: 5人以上~10人未満,,1: 1億円以上~3億円未満,https://www.miraiweb.co.jp/company/,,,,,,送信不可,, お問い合わせフォーム無し,
Ｊｐｉジャパン株式会社,医療機器,医療機器商社,東京都,東京都葛飾区東堀切３丁目１１番２号ＪｐｉＧビル,1: 5人以上~10人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,http://www.jpij-med.co.jp/main/?load_popup=1,,03-5804-6388,,,,送信成功,2026/07/17,,
株式会社ビューン,Webアプリ・サービス運営,"その他IT,書籍・メディア販売",東京都,東京都千代田区神田錦町３丁目１３番地,1: 5人以上~10人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,https://www.viewn.co.jp/info/company,https://www.viewn.co.jp/inquiry,0800-919-0157,info@viewn.co.jp,,,送信成功,2026/07/17,,
株式会社飛躍,Webアプリ・サービス運営,,東京都,東京都大田区北嶺町６番２号,1: 5人以上~10人未満,,1: 1億円以上~3億円未満,https://hiyaku-inc.com/,,,,,,送信成功,2026/07/17,,
株式会社アイメッド,Webアプリ・サービス運営,,東京都,東京都中野区中央５丁目８番１号,1: 5人以上~10人未満,,1: 1億円以上~3億円未満,https://ai-med.co.jp/,,,,,,送信不可,, お問い合わせフォーム無し,
